Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees),Fees,Notes
2021-09-17T11:21:38Z,Convert,CHZ,9.08907589,USD,0.33,2.98,3.01,0.03,Converted 9.08907589 CHZ to 0.00085857 ETH
2021-06-27T00:54:27Z,Coinbase Earn,BOND,0.03588088,USD,27.96,1,1,0,Received 0.03588088 BOND from Coinbase Earn
2021-06-27T00:55:20Z,Coinbase Earn,BOND,0.0358423,USD,27.96,1,1,0,Received 0.0358423 BOND from Coinbase Earn
2021-06-27T15:54:13Z,Coinbase Earn,BOND,0.0333667,USD,30.16,1.01,1.01,0,Received 0.0333667 BOND from Coinbase Earn
2021-07-01T07:33:45Z,Convert,BOND,0.10508988,USD,38.82,4.02,4.08,0.06,Converted 0.10508988 BOND to 0.0001201 BTC
2021-08-27T17:35:52Z,Coinbase Earn,RLY,1.68265186,USD,0.6,1.01,1.01,0,Received 1.68265186 RLY from Coinbase Earn
2021-08-27T17:36:27Z,Coinbase Earn,RLY,1.68265186,USD,0.6,1.01,1.01,0,Received 1.68265186 RLY from Coinbase Earn
2021-08-27T17:37:09Z,Coinbase Earn,RLY,1.68152009,USD,0.6,1.01,1.01,0,Received 1.68152009 RLY from Coinbase Earn
2021-08-27T17:37:47Z,Convert,RLY,5.04682381,USD,0.59,2.97,3,0.03,Converted 5.04682381 RLY to 10.4670042 DOGE
2021-07-17T13:47:51Z,Buy,CLV,2.97086149,USD,1.86,5.52,6.88,1.36,Bought 2.97086149 CLV for $6.88 USD
2021-07-17T13:55:31Z,Convert,CLV,2.97086149,USD,1.96,5.74,5.81,0.07,Converted 2.97086149 CLV to 0.00018132 BTC
2021-07-21T11:01:30Z,Coinbase Earn,CLV,0.76923077,USD,1.3,1,1,0,Received 0.76923077 CLV from Coinbase Earn
2021-07-21T11:02:09Z,Coinbase Earn,CLV,0.7751938,USD,1.3,1.01,1.01,0,Received 0.7751938 CLV from Coinbase Earn
